Record ID,Hospital Type,Hospital Department,Age,Sex,Work Experience,Receiving ongoing nursing training sessions in Hospital  ,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28
1,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,2,1,0,0,0,2,2,2,1,2,2,0,0,2,0,0,2,0,2,1,1
2,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,1,1,0,0,2,2,2,2,1,2,2,0,2,2,0,2,2,0,0,2,2
3,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2
4,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,0,2,2,2,2,2,2,2,0,2,2,0,0,2,0,0,0,2
5,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,1,2,2,2,2,1,2,2,0,1,2,0,1,2,0,0,1,1
6,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,1,2,0,0,2,2,2,2,2,2,1,0,2,2,0,2,2,0,0,0,1
7,Private,Critical Care Units,20 to 29 years,Male,6 months-5 year,Yes,2,2,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,0,2
8,Private,Critical Care Units,30 to 39 years,Female,11 year or more,Yes,2,2,2,0,2,2,2,2,0,2,2,0,2,2,0,2,2,0,0,0,2
9,Private,Critical Care Units,20 to 29 years,Male,6 months-5 year,Yes,2,1,0,0,2,2,2,2,2,2,1,1,2,1,0,2,2,0,1,1,1
10,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,2,1,0,0,2,2,2,2,2,2,2,0,0,2,0,2,2,0,0,0,0
11,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,0,2,2,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
12,Private,Critical Care Units,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,2,2,2,2,2,0,2,2,0,2,2,0,2,2,0,0,0,1
13,Private,Critical Care Units,20 to 29 years,Male,6 months-5 year,Yes,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2
14,Private,Critical Care Units,20 to 29 years,Male,6 months-5 year,Yes,2,2,0,0,2,2,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
15,Private,Critical Care Units,20 to 29 years,Male,6 months-5 year,Yes,2,2,2,1,2,2,2,1,0,2,2,2,2,2,0,2,2,0,0,0,2
16,Private,Emergency,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,0,2,2,2,2,0,2,2,0,0,2,0,0,2,0,0,0,0
17,Private,Emergency,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,0,2,2,2,2,2,2,2,0,2,2,0,2,2,0,0,0,0
18,Private,Emergency,30 to 39 years,Female,6-10 year,Yes,2,2,0,0,0,2,2,2,0,2,2,0,2,2,0,2,2,0,0,0,2
19,Private,Emergency,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,1,2,0,0,0,2
20,Private,Emergency,20 to 29 years,Female,6 months-5 year,Yes,1,1,0,0,0,2,1,2,1,1,1,0,2,1,0,1,1,0,1,2,1
21,Private,Emergency,20 to 29 years,Female,6-10 year,Yes,2,2,0,0,2,2,2,0,0,2,0,2,0,0,2,2,0,0,0,2,2
22,Private,Emergency,20 to 29 years,Female,6 months-5 year,Yes,2,2,1,0,1,2,1,2,2,2,2,1,2,2,0,0,2,0,2,0,0
23,Private,Emergency,20 to 29 years,Male,6 months-5 year,Yes,2,2,0,0,2,2,2,2,1,1,2,0,2,2,0,2,2,0,0,0,1
24,Private,Emergency,20 to 29 years,Female,6 months-5 year,Yes,2,2,0,0,2,2,1,2,2,2,2,0,2,2,2,2,2,0,0,1,0
25,Private,Emergency,30 to 39 years,Female,6 months-5 year,Yes,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2
